price,installment,bedroom_count,bathroom_count,carport_count,land_area,building_area,location_encoded
8740000000.0,32000000.0,3,1,3,437.0,300.0,7
5000000000.0,18000000.0,6,3,2,212.0,150.0,18
1600000000.0,5000000.0,5,1,1,180.0,175.0,19
6500000000.0,24000000.0,5,4,4,860.0,600.0,19
1100000000.0,4000000.0,4,1,2,97.0,120.0,0
3200000000.0,11000000.0,5,3,0,203.0,280.0,24
2000000000.0,7000000.0,3,2,0,221.0,165.0,18
2050000000.0,7000000.0,3,4,2,105.0,150.0,8
6900000000.0,25000000.0,5,4,3,402.0,540.0,13
10000000000.0,37000000.0,11,3,0,390.0,265.0,7
3750000000.0,13000000.0,4,4,0,321.0,250.0,13
3100000000.0,11000000.0,4,3,1,180.0,300.0,8
1600000000.0,5000000.0,4,2,2,120.0,200.0,1
5800000000.0,21000000.0,4,5,0,236.0,400.0,5
6500000000.0,24000000.0,21,21,8,360.0,600.0,23
875000000.0,3000000.0,3,2,1,92.0,82.0,20
11000000000.0,40000000.0,11,2,1,500.0,350.0,25
2350000000.0,8000000.0,3,2,0,160.0,280.0,3
625000000.0,2000000.0,2,1,1,62.0,38.0,16
604000000.0,2000000.0,3,2,1,57.0,50.0,26
1350000000.0,5000000.0,3,2,1,112.0,100.0,1
3300000000.0,12000000.0,0,0,1,373.0,182.0,12
1000000000.0,3000000.0,2,2,0,105.0,105.0,21
1650000000.0,6000000.0,3,0,1,88.0,166.0,19
5000000000.0,18000000.0,5,4,1,300.0,350.0,2
3900000000.0,14000000.0,10,7,0,225.0,450.0,3
32000000000.0,118000000.0,9,3,7,654.0,500.0,7
1150000000.0,4000000.0,2,2,2,143.0,90.0,2
3200000000.0,11000000.0,4,4,0,249.0,325.0,22
1600000000.0,5000000.0,2,2,2,105.0,115.0,19
1070000000.0,3000000.0,3,2,1,108.0,100.0,20
3650000000.0,13000000.0,3,2,0,279.0,150.0,8
575000000.0,2000000.0,3,1,1,90.0,54.0,20
4700000000.0,17000000.0,2,2,0,333.0,450.0,18
11000000000.0,40000000.0,4,4,1,275.0,325.0,9
5500000000.0,20000000.0,4,3,3,280.0,230.0,18
5500000000.0,20000000.0,4,3,0,394.0,420.0,0
735000000.0,2000000.0,3,2,0,73.0,69.0,12
8000000000.0,29000000.0,3,2,2,395.0,225.0,13
6250000000.0,23000000.0,5,3,2,585.0,750.0,24
430000000.0,1000000.0,2,2,0,72.0,100.0,26
565000000.0,2000000.0,2,1,1,93.0,80.0,26
7000000000.0,26000000.0,5,2,2,428.0,300.0,23
4800000000.0,17000000.0,4,3,3,300.0,230.0,8
8000000000.0,29000000.0,4,3,13,932.0,400.0,14
650000000.0,2000000.0,3,2,0,100.0,100.0,12
1040000000.0,3000000.0,3,2,1,116.0,108.0,10
1800000000.0,6000000.0,3,2,1,70.0,130.0,8
45000000000.0,167000000.0,9,3,8,885.0,385.0,13
8700000000.0,32000000.0,10,3,5,314.0,185.0,7
8500000000.0,31000000.0,4,4,2,450.0,300.0,14
1340000000.0,5000000.0,3,2,1,93.0,90.0,1
6500000000.0,24000000.0,4,3,2,585.0,1000.0,14
