price,installment,location,bedroom_count,bathroom_count,carport_count,land_area,building_area
1990000000.0,7000000.0,"Andir, Bandung",4,11,2,104.0,125.0
2500000000.0,9000000.0,"Andir, Bandung",4,4,0,153.0,167.0
5500000000.0,20000000.0,"Andir, Bandung",5,4,2,392.0,260.0
2500000000.0,9000000.0,"Andir, Bandung",4,4,1,228.0,450.0
2250000000.0,8000000.0,"Andir, Bandung",11,5,0,163.0,300.0
3700000000.0,13000000.0,"Andir, Bandung",3,2,1,235.0,150.0
2000000000.0,7000000.0,"Andir, Bandung",3,2,2,140.0,90.0
5000000000.0,18000000.0,"Andir, Bandung",4,4,2,160.0,226.0
3950000000.0,14000000.0,"Andir, Bandung",3,2,0,202.0,360.0
4000000000.0,14000000.0,"Andir, Bandung",5,3,1,184.0,234.0
4750000000.0,17000000.0,"Andir, Bandung",4,5,0,405.0,700.0
1300000000.0,4000000.0,"Andir, Bandung",2,2,0,137.0,160.0
1100000000.0,4000000.0,"Andir, Bandung",4,1,2,97.0,120.0
3600000000.0,13000000.0,"Andir, Bandung",4,4,1,127.0,250.0
2500000000.0,9000000.0,"Andir, Bandung",4,3,1,259.0,270.0
1550000000.0,5000000.0,"Andir, Bandung",0,2,1,129.0,98.0
1400000000.0,5000000.0,"Andir, Bandung",4,2,0,140.0,160.0
4950000000.0,18000000.0,"Andir, Bandung",4,4,6,550.0,250.0
3300000000.0,12000000.0,"Andir, Bandung",4,2,3,240.0,200.0
6500000000.0,24000000.0,"Andir, Bandung",5,3,0,475.0,300.0
6500000000.0,24000000.0,"Andir, Bandung",5,4,1,195.0,320.0
4000000000.0,14000000.0,"Andir, Bandung",4,3,1,255.0,350.0
600000000.0,2000000.0,"Andir, Bandung",3,1,0,71.0,65.0
4500000000.0,16000000.0,"Andir, Bandung",3,5,2,316.0,250.0
6250000000.0,23000000.0,"Andir, Bandung",4,3,2,625.0,457.0
1550000000.0,5000000.0,"Andir, Bandung",3,2,1,129.0,100.0
8500000000.0,31000000.0,"Andir, Bandung",5,4,6,500.0,574.0
6500000000.0,24000000.0,"Andir, Bandung",5,3,2,475.0,300.0
8000000000.0,29000000.0,"Andir, Bandung",5,2,3,760.0,250.0
7500000000.0,27000000.0,"Andir, Bandung",2,2,0,165.0,300.0
1800000000.0,6000000.0,"Andir, Bandung",0,0,0,600.0,800.0
4250000000.0,15000000.0,"Andir, Bandung",6,3,2,253.0,180.0
260000000.0,966000.0,"Andir, Bandung",2,1,0,32.0,60.0
3000000000.0,11000000.0,"Andir, Bandung",3,1,1,350.0,258.0
3600000000.0,13000000.0,"Andir, Bandung",4,3,2,202.0,300.0
1400000000.0,5000000.0,"Andir, Bandung",3,2,0,49.0,72.0
2500000000.0,9000000.0,"Andir, Bandung",3,2,1,196.0,150.0
1240000000.0,4000000.0,"Andir, Bandung",2,2,4,216.0,273.0
1240000000.0,4000000.0,"Andir, Bandung",2,2,0,216.0,273.0
1500000000.0,5000000.0,"Andir, Bandung",6,3,2,187.0,370.0
1200000000.0,4000000.0,"Andir, Bandung",3,2,1,126.0,98.0
2100000000.0,7000000.0,"Andir, Bandung",7,3,1,140.0,300.0
